flex,fsr1,fsr2,fsr3,pitch,roll,label
294,2.49,0.00,15.05,69.18,24.77,Sitting
310,2.95,0.00,15.28,69.18,24.77,Sitting
325,3.30,0.00,15.48,69.17,24.74,Sitting
333,3.40,0.00,15.38,69.14,24.72,Sitting
315,2.91,0.00,15.19,69.14,24.82,Sitting
303,2.53,0.00,15.03,69.12,24.84,Sitting
303,2.23,0.00,14.90,69.12,24.82,Sitting
290,1.87,0.00,14.71,69.12,24.79,Sitting
309,2.36,0.00,15.01,69.12,24.79,Sitting
327,2.78,0.00,15.24,69.11,24.80,Sitting
309,2.23,0.00,15.08,69.12,24.79,Sitting
296,1.78,0.00,14.95,69.11,24.78,Sitting
291,1.53,0.00,14.91,69.12,24.95,Sitting
287,1.38,0.00,14.80,69.12,24.97,Sitting
285,1.21,0.00,14.71,69.11,24.93,Sitting
300,1.44,0.00,14.83,69.12,24.90,Sitting
317,1.91,0.00,15.13,69.11,24.89,Sitting
308,1.67,0.00,14.62,69.12,24.86,Sitting
328,1.96,0.00,14.94,69.14,24.89,Sitting
317,1.70,0.00,14.89,69.14,24.88,Sitting
308,1.39,0.00,14.80,69.12,25.02,Sitting
301,1.13,0.00,14.80,69.12,25.01,Sitting
299,1.02,0.00,14.73,69.13,24.98,Sitting
323,1.61,0.00,15.04,69.13,24.94,Sitting
313,1.42,0.00,14.92,69.13,24.92,Sitting
333,1.93,0.00,15.18,69.12,24.92,Sitting
346,2.45,0.00,15.37,69.13,24.91,Sitting
328,1.95,0.00,15.09,69.12,24.89,Sitting
320,1.68,0.00,14.95,69.14,25.06,Sitting
310,1.89,0.00,14.84,69.12,25.07,Sitting
304,1.64,0.00,14.78,69.11,25.04,Sitting
305,1.66,0.00,14.89,69.11,25.00,Sitting
326,2.12,0.00,15.16,69.10,24.96,Sitting
341,2.50,0.00,15.38,69.10,24.90,Sitting
353,2.89,0.00,15.55,69.11,24.88,Sitting
334,2.23,0.00,15.24,69.11,24.83,Sitting
324,1.77,0.00,15.15,69.12,24.84,Sitting
316,1.75,0.00,15.17,69.11,24.82,Sitting
310,0.76,0.00,14.89,69.11,24.81,Sitting
305,0.41,0.00,14.86,69.12,24.79,Sitting
290,0.00,0.00,14.78,69.13,24.90,Sitting
314,0.36,0.00,15.07,69.11,24.92,Sitting
333,0.79,0.00,15.37,69.11,24.90,Sitting
322,0.33,0.00,15.15,69.10,24.88,Sitting
316,0.08,0.00,15.00,69.11,25.03,Sitting
311,0.00,0.00,14.96,69.12,25.02,Sitting
306,0.00,0.00,14.85,69.12,24.97,Sitting
305,0.00,0.00,14.81,69.12,24.94,Sitting
325,0.31,0.00,15.04,69.14,24.93,Sitting
343,0.98,0.00,15.28,69.13,24.91,Sitting
335,0.65,0.00,15.20,69.13,24.90,Sitting
327,0.50,0.00,15.06,69.12,24.93,Sitting
321,0.34,0.00,15.06,69.11,25.03,Sitting
318,0.30,0.00,14.97,69.12,25.01,Sitting
315,0.22,0.00,14.94,69.12,24.98,Sitting
313,0.19,0.00,14.88,69.13,25.00,Sitting
335,0.83,0.00,15.23,69.13,24.97,Sitting
326,0.73,0.00,15.17,69.12,24.95,Sitting
345,1.34,0.00,15.40,69.15,24.93,Sitting
337,1.04,0.00,15.21,69.15,24.91,Sitting
327,0.69,0.00,15.18,69.14,25.03,Sitting
321,0.28,0.00,15.19,69.14,25.02,Sitting
320,0.00,0.00,15.14,69.14,24.99,Sitting
340,0.50,0.00,15.40,69.14,24.94,Sitting
357,0.90,0.00,15.66,69.13,24.91,Sitting
369,1.22,0.00,15.78,69.13,24.87,Sitting
381,1.43,0.00,15.88,69.13,24.81,Sitting
359,1.04,0.00,15.67,69.14,24.81,Sitting
346,0.64,0.00,15.56,69.14,24.94,Sitting
331,0.36,0.00,15.45,69.15,24.97,Sitting
320,0.16,0.00,15.31,69.16,24.95,Sitting
310,0.00,0.00,15.24,69.16,24.93,Sitting
319,0.66,0.00,15.52,69.15,24.94,Sitting
326,1.00,0.00,15.69,69.13,24.97,Sitting
312,0.72,0.00,15.55,69.14,24.94,Sitting
297,0.46,0.00,15.46,69.16,24.90,Sitting
285,0.24,0.00,14.70,69.16,24.86,Sitting
273,0.05,0.00,14.76,69.15,24.88,Sitting
265,0.05,0.00,14.75,69.13,24.85,Sitting
254,0.00,0.00,14.75,69.13,24.80,Sitting
275,0.51,0.00,15.16,69.14,24.79,Sitting
293,1.00,0.00,15.44,69.12,24.76,Sitting
311,1.42,0.00,15.71,69.11,24.74,Sitting
300,1.08,0.00,15.52,69.11,24.72,Sitting
295,0.72,0.00,15.38,69.10,24.87,Sitting
290,0.44,0.00,15.35,69.08,24.91,Sitting
287,0.21,0.00,15.26,69.08,24.89,Sitting
310,0.78,0.00,15.54,69.08,24.88,Sitting
330,1.24,0.00,15.77,69.09,24.89,Sitting
346,1.60,0.00,15.95,69.10,24.90,Sitting
331,1.19,0.00,15.75,69.10,24.88,Sitting
320,0.93,0.00,15.63,69.12,24.83,Sitting
